_link,_link_release,id,title,description,status,date,value_amount,value_currency,contractPeriod_startDate,contractPeriod_endDate,datePublished
2.awards.0,2,ef62c3e5-22fe-4538-aa7c-3b656b9335bd,,See description of related tender,active,2022-05-18T00:00:00,37982.17,GBP,2022-06-01T00:00:00,2023-06-30T00:00:00,2022-05-27T14:48:17
4.awards.0,4,17e6bc98-5bfd-4f27-bff1-c79bff412e89,,See description of related tender,active,2022-01-13T00:00:00,4500.0,GBP,2022-02-07T00:00:00,2022-02-25T00:00:00,2022-05-27T12:16:43
5.awards.0,5,5b0e0dc6-a204-4260-9d99-14141d65d47f,,See description of related tender,active,2022-05-27T00:00:00,48000.0,GBP,2022-06-01T00:00:00,2023-02-28T00:00:00,2022-05-27T12:20:11
7.awards.0,7,b35ae294-a7db-4f1f-bb55-a6913d7e5363,,See description of related tender,active,2022-05-27T00:00:00,33721.0,GBP,2022-06-01T00:00:00,2025-05-31T00:00:00,2022-05-27T12:21:46
10.awards.0,10,9b1ce787-3283-4345-b546-85234478969e,,See description of related tender,active,2022-05-06T00:00:00,2136315.0,GBP,2022-04-11T00:00:00,2023-01-13T00:00:00,2022-05-27T12:26:31
11.awards.0,11,7dce9811-ecff-4693-8a4b-aa2ba26808df,,See description of related tender,active,2021-09-17T00:00:00,30324.0,GBP,2021-09-20T00:00:00,2022-07-31T00:00:00,2022-05-27T12:27:00
12.awards.0,12,08e9ebe6-2b37-4a75-b7e2-8d9f79743bf1,,See description of related tender,active,2022-05-27T00:00:00,4500.0,GBP,2022-06-01T00:00:00,2025-05-31T00:00:00,2022-05-27T12:27:06
15.awards.0,15,d786d5da-c429-4baa-8cc4-d0bbd717ed0a,,See description of related tender,active,2022-05-11T00:00:00,2309116.0,GBP,2022-06-01T00:00:00,2025-05-31T00:00:00,2022-05-27T12:32:18
16.awards.0,16,7b0b4cb6-7df8-4d13-8772-6806146c056c,,See description of related tender,active,2022-05-27T00:00:00,113275.0,GBP,2022-07-25T00:00:00,2022-09-02T00:00:00,2022-05-27T12:32:25
21.awards.0,21,1f1fe57c-9a6a-4561-8855-2466257f799c,,See description of related tender,active,2022-03-18T00:00:00,23520.0,GBP,2022-04-01T00:00:00,2023-03-31T00:00:00,2022-05-27T12:41:43
22.awards.0,22,6fd82453-0ae1-4fb8-a5e7-531d77b5f6be,,See description of related tender,active,2022-05-17T00:00:00,330000.0,GBP,2022-07-01T00:00:00,2023-03-31T00:00:00,2022-05-27T12:44:58
23.awards.0,23,6a9a247e-9d10-4a40-aa8a-f58f1554e3b7,,See description of related tender,active,2021-11-18T00:00:00,21250.0,GBP,2021-11-15T00:00:00,2022-12-31T00:00:00,2022-05-27T12:45:04
24.awards.0,24,7224c26c-d8d3-4986-a260-96ed4c5d16ca,,See description of related tender,active,2022-03-14T00:00:00,34713.0,GBP,2022-03-15T00:00:00,2022-10-31T00:00:00,2022-05-27T12:47:21
25.awards.0,25,f8a16372-79bb-49c2-9a39-9f09355b6a0d,,See description of related tender,active,2022-05-27T00:00:00,,GBP,2022-06-01T00:00:00,2028-07-31T00:00:00,2022-05-27T12:47:30
26.awards.0,26,a2643d02-6038-444e-a311-928b25a78824,,See description of related tender,active,2022-04-28T00:00:00,330000.0,GBP,2022-07-01T00:00:00,2023-03-31T00:00:00,2022-05-27T12:47:49
27.awards.0,27,7d4e391f-9049-460a-8b77-4300b159ea13,,See description of related tender,active,2022-01-16T00:00:00,280124.0,GBP,2022-02-23T00:00:00,2023-01-31T00:00:00,2022-05-27T12:48:01
28.awards.0,28,a1504ad2-4962-4652-ac63-ac648ec34736,,See description of related tender,active,2022-04-28T00:00:00,354500.0,GBP,2022-04-04T00:00:00,2022-09-30T00:00:00,2022-05-27T12:49:34
30.awards.0,30,4718c961-5af8-4a9a-b410-9069438e2d55,,See description of related tender,active,2017-12-23T00:00:00,150889.0,GBP,2020-12-22T00:00:00,2022-12-31T00:00:00,2022-05-27T12:52:30
34.awards.0,34,4257f2b2-5424-4df4-99ba-1994e5ea2f3f,,See description of related tender,active,2022-05-27T00:00:00,761651.9,GBP,2022-05-27T00:00:00,2023-05-27T00:00:00,2022-05-27T12:59:22
35.awards.0,35,56bedc54-41ad-4b0d-b173-0afc44e4cf11,,See description of related tender,active,2022-05-10T00:00:00,2000000.0,GBP,2022-06-13T00:00:00,2028-06-13T00:00:00,2022-05-27T12:17:33
37.awards.0,37,2679b9c6-483d-41ba-9c50-92f467ac9b92,,See description of related tender,active,2022-04-05T00:00:00,84550.0,GBP,2022-05-17T00:00:00,2024-05-16T00:00:00,2022-05-27T13:02:52
40.awards.0,40,6b9ee6b1-0551-4efa-be54-9788a5737214,,See description of related tender,active,2022-04-26T00:00:00,21129.09,GBP,2022-05-22T00:00:00,2022-07-10T00:00:00,2022-05-27T13:08:44
41.awards.0,41,51d9e885-55e1-425a-b123-2e9a5f6273f1,,See description of related tender,active,2022-03-21T00:00:00,29920.0,GBP,2022-03-27T00:00:00,2023-01-06T00:00:00,2022-05-27T13:09:15
42.awards.0,42,5b79d193-70c3-4252-9e55-cfa7b97879fc,,See description of related tender,active,2022-05-13T00:00:00,254760.0,GBP,2022-05-16T00:00:00,2023-05-15T00:00:00,2022-05-27T13:10:03
44.awards.0,44,db538238-eb18-4da6-8d75-ff0505566ccf,,See description of related tender,active,2022-05-20T00:00:00,21100.0,GBP,2022-05-25T00:00:00,2022-09-02T00:00:00,2022-05-27T13:12:56
45.awards.0,45,0b496d93-bdf3-4b8c-bb9e-3b4e0ba01e3c,,See description of related tender,active,2021-11-09T00:00:00,106373.4,GBP,2021-11-15T00:00:00,2025-07-31T00:00:00,2022-05-27T13:14:30
46.awards.0,46,64529c23-c6a9-40c8-acfd-c17439795d76,,See description of related tender,active,2022-05-27T00:00:00,,GBP,2022-07-04T00:00:00,2023-07-03T00:00:00,2022-05-27T13:20:19
47.awards.0,47,cdfce25f-c348-490c-b6af-de372d797059,,See description of related tender,active,2022-05-27T00:00:00,89964.6,GBP,2022-06-01T00:00:00,2027-05-31T00:00:00,2022-05-27T13:20:29
50.awards.0,50,a3e2f39e-37c8-44c2-b7ff-4cb9e2bcc986,,See description of related tender,active,2022-05-16T00:00:00,208782.0,GBP,2022-02-14T00:00:00,2022-05-31T00:00:00,2022-05-27T13:25:52
52.awards.0,52,0a2a4ab4-ce2a-4d86-a9df-8e1f1c8cf2f8,,See description of related tender,active,2021-12-01T00:00:00,40000.0,GBP,2021-12-07T00:00:00,2022-12-06T00:00:00,2022-05-27T13:25:55
55.awards.0,55,b8883531-a0c1-4f0f-bed5-4831ef651c9b,,See description of related tender,active,2022-05-27T00:00:00,31931.25,GBP,2022-06-01T00:00:00,2024-05-31T00:00:00,2022-05-27T13:29:29
58.awards.0,58,fbec7f56-ac1f-42c0-8fa4-15f28da377ac,,See description of related tender,active,2022-02-22T00:00:00,75800.0,GBP,2021-11-01T00:00:00,2022-01-31T00:00:00,2022-05-27T13:38:00
64.awards.0,64,c45f16ac-ad3d-45a1-ad7c-b1af415c13db,,See description of related tender,active,2022-01-21T00:00:00,14631629.0,GBP,2022-01-21T00:00:00,2024-02-29T00:00:00,2022-05-27T13:46:26
70.awards.0,70,8478afb3-c602-4ca4-a259-077d44ab926c,,See description of related tender,active,2022-05-25T00:00:00,200000.0,GBP,2022-04-14T00:00:00,2022-10-13T00:00:00,2022-05-27T13:58:24
73.awards.0,73,a38307ea-48f0-4bdd-b530-a72b8d841d9c,,See description of related tender,active,2022-05-13T00:00:00,366300.0,GBP,2022-05-14T00:00:00,2023-05-31T00:00:00,2022-05-27T14:03:40
74.awards.0,74,31db537f-a7f8-46de-ba53-b70e268785eb,,See description of related tender,active,2022-04-30T00:00:00,600000.0,GBP,2022-05-02T00:00:00,2025-05-01T00:00:00,2022-05-03T09:56:57
76.awards.0,76,5a6d75d5-dd65-49c6-9f54-b604f02f4ef4,,See description of related tender,active,2022-02-21T00:00:00,160000.0,GBP,2022-03-01T00:00:00,2023-03-31T00:00:00,2022-05-27T14:09:31
79.awards.0,79,40dc412e-81e0-458c-88f5-0c2b0e5fe0be,,See description of related tender,active,2022-05-20T00:00:00,11760000.0,GBP,2022-04-01T00:00:00,2025-03-31T00:00:00,2022-05-27T14:11:35
84.awards.0,84,15d62f5e-a60c-416e-908c-8650d63cf729,,See description of related tender,active,2022-04-01T00:00:00,58671.72,GBP,2022-04-04T00:00:00,2024-04-05T00:00:00,2022-05-27T14:20:07
